PMG PRG Trainsize N value sd se ci Trait
25%MG 75%RG 20%geno 50 21.0860409253333 0.989830443179964 0.139983163719488 0.281306699425691 Aggregate_breeding_value
25%MG 100%RG 2.5%geno 50 18.1279701786667 1.22444042459664 0.173162025478244 0.347982118412221 Aggregate_breeding_value
25%MG 100%RG 5%geno 50 18.2746812597576 1.26863169119782 0.179411614334828 0.360541137420651 Aggregate_breeding_value
25%MG 100%RG 10%geno 50 19.1554119938182 1.18604574411156 0.167732197691746 0.337070470950599 Aggregate_breeding_value
25%MG 100%RG 20%geno 50 20.1964719865455 0.924350033253317 0.130722835340686 0.262697372827966 Aggregate_breeding_value
50%MG 0%RG 2.5%geno 50 19.901800933697 1.19178515951098 0.168543873601542 0.338701594759498 Aggregate_breeding_value
50%MG 0%RG 5%geno 50 20.7393067026667 1.07300978410949 0.151746498924667 0.304946006560069 Aggregate_breeding_value
50%MG 0%RG 10%geno 50 21.6820723215758 1.06506426996347 0.150622833538133 0.302687916424472 Aggregate_breeding_value
50%MG 0%RG 20%geno 50 23.2853484957576 1.12398457522748 0.158955423018486 0.319432881905353 Aggregate_breeding_value
50%MG 25%RG 2.5%geno 50 19.3903709408485 1.29708790120701 0.1834359301477 0.368628302824587 Aggregate_breeding_value
50%MG 25%RG 5%geno 50 20.3071940475152 1.16113968483825 0.164209949010788 0.329992247222334 Aggregate_breeding_value
50%MG 25%RG 10%geno 50 21.4390000282424 0.975672575295941 0.1379809388419 0.277283077892527 Aggregate_breeding_value
50%MG 25%RG 20%geno 50 22.2240352282425 0.841413937306166 0.118993900170812 0.239127195152694 Aggregate_breeding_value
50%MG 50%RG 2.5%geno 50 18.8856984949091 1.21202068799635 0.171405609484121 0.344452468324333 Aggregate_breeding_value
50%MG 50%RG 5%geno 50 19.8889630195152 1.39274975992405 0.196964559947646 0.395815102262847 Aggregate_breeding_value
50%MG 50%RG 10%geno 50 20.833031564 0.834231499492019 0.117978150074046 0.23708596891112 Aggregate_breeding_value
50%MG 50%RG 20%geno 50 21.9177028138182 0.919009816707198 0.129967614674133 0.261179700077893 Aggregate_breeding_value
50%MG 75%RG 2.5%geno 50 18.4905288995152 1.25793371009986 0.177898691338952 0.357500804832456 Aggregate_breeding_value
50%MG 75%RG 5%geno 50 19.0725472933333 1.0633622513004 0.150382131750461 0.302204208072433 Aggregate_breeding_value
50%MG 75%RG 10%geno 50 20.0696100117576 0.913207459245352 0.129147037412505 0.259530688332774 Aggregate_breeding_value
50%MG 75%RG 20%geno 50 21.5161884192728 0.847514527836508 0.119856653957462 0.240860963798084 Aggregate_breeding_value
50%MG 100%RG 2.5%geno 50 18.2533180019394 1.12319559244313 0.158843844003075 0.319208655479 Aggregate_breeding_value
50%MG 100%RG 5%geno 50 18.3225067363637 1.2545026996598 0.177413473189255 0.356525722454219 Aggregate_breeding_value
50%MG 100%RG 10%geno 50 19.2386480292121 1.38072471461086 0.19526396173064 0.392397622197646 Aggregate_breeding_value
50%MG 100%RG 20%geno 50 19.7195840654546 1.02095005956154 0.144384142073754 0.290150796545567 Aggregate_breeding_value
75%MG 0%RG 2.5%geno 50 19.7155268055758 1.46642326173262 0.207383566492166 0.416752879810202 Aggregate_breeding_value
75%MG 0%RG 5%geno 50 20.5017922121212 1.00694045545345 0.142402884860441 0.286169311111308 Aggregate_breeding_value
75%MG 0%RG 10%geno 50 21.8113965756364 1.0358580733865 0.146492453607686 0.294387607196309 Aggregate_breeding_value
75%MG 0%RG 20%geno 50 22.172664657697 1.06374813127369 0.150436703419629 0.302313873947442 Aggregate_breeding_value
